"SNP_name"	"chromosome"	"Physical_Position"	"rawData.log2ratio."
"SNP_A-2279707"	11	2483474	0.57702
"SNP_A-1824380"	11	2483882	0.303279
"SNP_A-2286096"	11	2483937	0.090411
"SNP_A-2147212"	11	2484579	0.18652
"SNP_A-2290028"	11	2484809	0.317877
"SNP_A-2248126"	11	2484900	0.239442
"SNP_A-2188014"	11	2486738	0.243189
"SNP_A-2067461"	11	2489867	-0.163805
"SNP_A-2108877"	11	2589728	0.180274
"SNP_A-2045452"	11	2590291	-0.08675
"SNP_A-1845199"	11	2597705	0.540157
"SNP_A-2089816"	11	2600056	-0.053267
"SNP_A-2204636"	11	2634221	0.126849
"SNP_A-2279904"	11	2672031	0.201944
"SNP_A-2167641"	11	2672108	0.288277
"SNP_A-1860502"	11	2673627	0.236069
"SNP_A-2137721"	11	2673869	0.222507
"SNP_A-2222217"	11	2680180	0.434816
"SNP_A-4192785"	11	2685916	0.250631
"SNP_A-2185200"	11	2687761	0.086849
"SNP_A-2139714"	11	2692602	0.455049
"SNP_A-2281097"	11	2717317	0.407887
"SNP_A-1819033"	11	2731415	-0.138749
"SNP_A-2247632"	11	2732348	0.491444
"SNP_A-2078818"	11	2741967	0.23113
"SNP_A-1829337"	11	2742118	0.038188
"SNP_A-2306355"	11	2780438	-0.018932
"SNP_A-2207071"	11	2801017	0.177465
"SNP_A-2115624"	11	2818735	0.328898
"SNP_A-1866128"	11	2834275	0.001927
"SNP_A-1932771"	11	2852376	0.268799
"SNP_A-2211163"	11	2852889	0.385311
"SNP_A-2284964"	11	2858681	0.527499
"SNP_A-2177536"	11	2937298	0.44962
"SNP_A-2006982"	11	2937407	0.165989
"SNP_A-1941345"	11	2954752	0.322615
"SNP_A-2042797"	11	2967562	0.325093
"SNP_A-2178327"	11	2989768	-0.026396
"SNP_A-2237186"	11	2991646	0.176375
"SNP_A-1933421"	11	2992900	0.331035
"SNP_A-4238315"	11	2993189	0.01314
"SNP_A-2205124"	11	3002977	0.042567
"SNP_A-1828662"	11	3011449	-0.027481
"SNP_A-4223649"	11	3017301	0.71361
"SNP_A-1887898"	11	3018568	0.55911
"SNP_A-2209083"	11	3024682	0.367296
"SNP_A-1940987"	11	3130753	0.243052
"SNP_A-1878356"	11	3153866	0.42042
"SNP_A-1894676"	11	3164015	0.153782
"SNP_A-2001633"	11	3186637	0.250184
"SNP_A-4196241"	11	3189920	0.421306
"SNP_A-1946959"	11	3214087	0.047064
"SNP_A-1818068"	11	3214219	-0.163609
"SNP_A-2241668"	11	3214412	0.352197
"SNP_A-2296108"	11	3215381	0.287735
"SNP_A-2143136"	11	3216111	0.245449
"SNP_A-4231943"	11	3222709	0.341595
"SNP_A-4222080"	11	3320422	-0.011141
"SNP_A-1791882"	11	3320934	-0.085159
"SNP_A-2039372"	11	3321093	-0.180498
"SNP_A-2298094"	11	3324129	0.086324
"SNP_A-1882416"	11	3334236	-0.110254
"SNP_A-2232546"	11	3334520	0.18549
"SNP_A-2051135"	11	3334639	0.265499
"SNP_A-4214097"	11	3342988	0.1899
"SNP_A-1849407"	11	3351014	0.465936
"SNP_A-2001635"	11	3354410	0.034997
"SNP_A-2023076"	11	3354643	0.416737
"SNP_A-1851221"	11	3355005	0.23358
"SNP_A-1959369"	11	3355238	0.173285
"SNP_A-1925174"	11	3363682	0.104086
"SNP_A-2279808"	11	3363988	0.176919
"SNP_A-1793610"	11	3364105	-0.245419
"SNP_A-2223099"	11	3443300	0.085032
"SNP_A-1817425"	11	3484727	0.003939
"SNP_A-2179230"	11	3568345	0.150685
"SNP_A-2164577"	11	3574993	0.347069
"SNP_A-1795975"	11	3597975	0.262749
"SNP_A-2251175"	11	3600883	0.018942
"SNP_A-2253676"	11	3601258	-0.016771
"SNP_A-2296647"	11	3601633	-0.086637
"SNP_A-1863349"	11	3635022	0.270425
"SNP_A-2270801"	11	3636234	-0.198842
"SNP_A-1820851"	11	3638426	0.383719
"SNP_A-2001636"	11	3663022	0.556436
"SNP_A-2021302"	11	3700655	-0.075402
"SNP_A-1902088"	11	3705407	0.193863
"SNP_A-2151748"	11	3724877	0.5833
"SNP_A-2066655"	11	3772112	0.298116
"SNP_A-2007042"	11	3797267	0.083322
"SNP_A-2235957"	11	3804326	-0.076393
"SNP_A-2213893"	11	3822362	-0.262392
"SNP_A-2260823"	11	3827375	-0.05545
"SNP_A-2081233"	11	3865098	-0.361127
"SNP_A-2007049"	11	3880562	0.080812
"SNP_A-2262357"	11	3911687	0.015601
"SNP_A-2007051"	11	3921381	0.071426
"SNP_A-2007052"	11	3926020	0.026977
"SNP_A-1929441"	11	3927126	-0.303231
"SNP_A-2007053"	11	3929659	0.117529
"SNP_A-2061093"	11	3953716	0.194217
"SNP_A-1844536"	11	3955885	0.38765
"SNP_A-2159867"	11	3955911	0.391236
"SNP_A-1846152"	11	3960254	0.325391
"SNP_A-4195583"	11	3975977	0.212686
"SNP_A-2161725"	11	3976021	0.443592
"SNP_A-2007059"	11	4001991	0.145049
"SNP_A-2218292"	11	4042105	-0.087757
"SNP_A-1865547"	11	4042142	-0.213068
"SNP_A-1823892"	11	4054828	-0.228342
"SNP_A-2077810"	11	4055589	0.205911
"SNP_A-2198233"	11	4055627	-0.317249
"SNP_A-1832243"	11	4105524	0.204497
"SNP_A-2262871"	11	4119053	0.007305
"SNP_A-2001639"	11	4122105	0.699771
"SNP_A-2054238"	11	4122493	0.135585
"SNP_A-4233091"	11	4129960	-0.16361
"SNP_A-4195831"	11	4133078	0.03614
"SNP_A-2176732"	11	4144994	-0.196364
"SNP_A-2140761"	11	4145450	0.255317
"SNP_A-1858919"	11	4179554	-0.076953
"SNP_A-2241384"	11	4179761	0.355393
"SNP_A-2256385"	11	4179807	0.288481
"SNP_A-1793711"	11	4185607	0.15194
"SNP_A-2007075"	11	4188455	-0.070937
"SNP_A-1935599"	11	4191100	0.342165
"SNP_A-1819082"	11	4191324	0.343263
"SNP_A-4197629"	11	4212525	0.281326
"SNP_A-1920464"	11	4282368	0.614906
"SNP_A-2154843"	11	4333781	-0.127062
"SNP_A-2140045"	11	4356707	0.230847
"SNP_A-2109733"	11	4360768	-0.00389
"SNP_A-2247497"	11	4364301	-0.008813
"SNP_A-1906516"	11	4374063	0.401849
"SNP_A-2183272"	11	4400298	0.259789
"SNP_A-1821453"	11	4401553	0.119523
"SNP_A-2180834"	11	4422154	-0.050287
"SNP_A-1784188"	11	4427515	0.174246
"SNP_A-2049285"	11	4453710	0.164984
"SNP_A-2262294"	11	4456103	0.515889
"SNP_A-2303413"	11	4456176	-0.010007
"SNP_A-2280282"	11	4466861	0.276488
"SNP_A-2105552"	11	4491897	-0.194886
"SNP_A-1847377"	11	4492042	0.229926
"SNP_A-4193881"	11	4492109	0.360251
"SNP_A-4234168"	11	4492313	0.612285
"SNP_A-1869392"	11	4492591	0.362219
"SNP_A-1819262"	11	4493820	-0.029518
"SNP_A-1906387"	11	4493865	0.273873
"SNP_A-4195766"	11	4494048	0.025011
"SNP_A-2079265"	11	4494610	0.478079
"SNP_A-2289166"	11	4494640	0.308519
"SNP_A-2118981"	11	4503112	0.263429
"SNP_A-1933528"	11	4518966	0.03484
"SNP_A-2096389"	11	4519034	0.460067
"SNP_A-2273977"	11	4529207	-0.127097
"SNP_A-1896012"	11	4544990	0.160549
"SNP_A-1805817"	11	4545642	0.226865
"SNP_A-2246805"	11	4550165	-0.030726
"SNP_A-1855193"	11	4557464	-0.162292
"SNP_A-2029026"	11	4560993	0.459391
"SNP_A-2001644"	11	4561602	-0.000369
"SNP_A-2001645"	11	4561771	0.238444
"SNP_A-2007157"	11	4562066	0.141792
"SNP_A-4202431"	11	4564692	0.183546
"SNP_A-2037541"	11	4568230	0.133027
"SNP_A-2279959"	11	4568399	0.138212
"SNP_A-2202664"	11	4581596	0.072494
"SNP_A-4222409"	11	4586272	0.165365
"SNP_A-1800399"	11	4604240	-0.378697
"SNP_A-1845249"	11	4604346	0.468673
"SNP_A-2161778"	11	4606025	0.103533
"SNP_A-1887585"	11	4616434	0.39529
"SNP_A-1840186"	11	4620055	0.170464
"SNP_A-1869096"	11	4620119	-0.068848
"SNP_A-4222719"	11	4622650	0.165944
"SNP_A-1931145"	11	4622748	0.113607
"SNP_A-2245234"	11	4632974	0.241787
"SNP_A-2198052"	11	4633033	-0.049241
"SNP_A-4206459"	11	4649555	0.10695
"SNP_A-4202023"	11	4655418	-0.266658
"SNP_A-2285146"	11	4666606	0.074534
"SNP_A-4198022"	11	4672522	0.24013
"SNP_A-4234829"	11	4672773	0.151555
"SNP_A-2007169"	11	4683016	0.014108
"SNP_A-1941013"	11	4683454	0.211673
"SNP_A-2162481"	11	4695810	0.029184
"SNP_A-2193745"	11	4708712	0.034724
"SNP_A-2298423"	11	4714514	0.189914
"SNP_A-2260607"	11	4722979	0.057231
"SNP_A-4239179"	11	4728629	-0.082357
"SNP_A-4202858"	11	4745605	0.064667
"SNP_A-1924430"	11	4750125	0.467644
"SNP_A-1940234"	11	4750458	0.342694
"SNP_A-4229578"	11	4750695	-0.205226
"SNP_A-4226933"	11	4750769	0.146542
"SNP_A-1942453"	11	4764709	0.018931
"SNP_A-2238981"	11	4765848	0.315631
"SNP_A-2234078"	11	4766940	0.502961
"SNP_A-2161292"	11	4768376	0.256708
"SNP_A-2089191"	11	4768459	0.205427
"SNP_A-2007174"	11	4776267	0.08356
"SNP_A-2241643"	11	4788850	0.123017
"SNP_A-2178342"	11	4797962	0.075107
"SNP_A-1939474"	11	4800616	0.093814
"SNP_A-2069123"	11	4805614	0.37998
"SNP_A-2225766"	11	4807931	0.163343
"SNP_A-1818908"	11	4808113	0.062161
"SNP_A-2230380"	11	4809835	0.647894
"SNP_A-2212830"	11	4811514	-0.134364
"SNP_A-2007175"	11	4827075	-0.270491
"SNP_A-2007176"	11	4827612	-0.057558
"SNP_A-2007177"	11	4828057	-0.118681
"SNP_A-2007179"	11	4828082	0.064313
"SNP_A-2081582"	11	4839972	0.460982
"SNP_A-4198305"	11	4841726	0.414465
"SNP_A-1876090"	11	4842027	-0.029668
"SNP_A-2285475"	11	4849608	0.146812
"SNP_A-2287287"	11	4853915	0.059379
"SNP_A-2007182"	11	4863792	0.199902
"SNP_A-2081798"	11	4868350	-0.168992
"SNP_A-1804836"	11	4874811	0.354209
"SNP_A-4214098"	11	4879539	-0.057421
"SNP_A-2001647"	11	4879758	0.370656
"SNP_A-2007185"	11	4881053	0.160695
"SNP_A-2007186"	11	4881743	0.28375
"SNP_A-2204827"	11	4892046	-0.133886
"SNP_A-2146005"	11	4892186	0.315233
"SNP_A-1855304"	11	4893616	-0.044633
"SNP_A-1944415"	11	4893677	0.201337
"SNP_A-4206253"	11	4893714	0.329769
"SNP_A-1869173"	11	4902207	0.133926
"SNP_A-2197160"	11	4902921	0.209097
"SNP_A-2007192"	11	4903126	-0.169829
"SNP_A-2007194"	11	4904736	0.27357
"SNP_A-4221844"	11	4909517	0.365016
"SNP_A-1820408"	11	4910038	0.268637
"SNP_A-4214639"	11	4911183	0.479757
"SNP_A-2023881"	11	4923637	0.138033
"SNP_A-1863703"	11	4923679	-0.049277
"SNP_A-4219512"	11	4923806	0.087081
"SNP_A-2007206"	11	4933130	-0.364013
"SNP_A-1891076"	11	4948858	0.189898
"SNP_A-1922332"	11	4957831	-0.007327
"SNP_A-2205382"	11	4958146	0.217863
"SNP_A-2207681"	11	4958407	-0.103088
"SNP_A-4216918"	11	4972517	-0.123561
"SNP_A-4239851"	11	4972845	-0.070279
"SNP_A-4221955"	11	4982553	0.212324
"SNP_A-1782463"	11	4986033	-0.147793
"SNP_A-2001648"	11	5008038	0.1574
"SNP_A-1894300"	11	5010221	0.473564
"SNP_A-2231482"	11	5010366	0.242294
"SNP_A-2022455"	11	5011219	1.123519
"SNP_A-2007214"	11	5017367	-0.043169
"SNP_A-2007215"	11	5017517	0.100068
"SNP_A-4214641"	11	5018011	-0.006858
"SNP_A-2007216"	11	5018117	-0.204308
"SNP_A-2275613"	11	5023934	0.117539
"SNP_A-2173672"	11	5023965	-0.002193
"SNP_A-4227393"	11	5029411	0.231817
"SNP_A-2247870"	11	5036810	0.436127
"SNP_A-2201922"	11	5036935	0.168399
"SNP_A-2007217"	11	5038206	-0.275888
"SNP_A-4197317"	11	5046757	-0.046902
"SNP_A-1882012"	11	5047089	0.151572
"SNP_A-2171660"	11	5065883	-0.627732
"SNP_A-2007221"	11	5071768	0.128663
"SNP_A-1925036"	11	5072704	0.022809
"SNP_A-4214642"	11	5073531	0.441553
"SNP_A-2007231"	11	5083753	0.055437
"SNP_A-2007232"	11	5084086	0.110477
"SNP_A-2059461"	11	5088695	0.079921
"SNP_A-2274893"	11	5095603	0.442174
"SNP_A-1781633"	11	5109837	0.385702
"SNP_A-1909555"	11	5118600	0.427904
"SNP_A-1821494"	11	5129362	-0.039684
"SNP_A-1873485"	11	5145420	-0.06333
"SNP_A-2137171"	11	5145512	0.01251
"SNP_A-2282411"	11	5148149	0.041363
"SNP_A-1886063"	11	5148256	0.125854
"SNP_A-1930769"	11	5149986	-0.048097
"SNP_A-1922837"	11	5157216	0.28765
"SNP_A-1794052"	11	5164594	0.020189
"SNP_A-1887243"	11	5164969	0.221738
"SNP_A-1945558"	11	5166168	0.094639
"SNP_A-2001651"	11	5166568	0.227172
"SNP_A-1882068"	11	5170989	0.168251
"SNP_A-2237176"	11	5182211	0.358709
"SNP_A-1924610"	11	5182894	0.119525
"SNP_A-2143187"	11	5190219	0.14291
"SNP_A-4238113"	11	5190307	0.142095
"SNP_A-2047271"	11	5205346	0.105399
"SNP_A-2050913"	11	5205946	0.005061
"SNP_A-1833117"	11	5208827	0.014088
"SNP_A-1809982"	11	5214276	0.09228
"SNP_A-2092215"	11	5214385	-0.091719
"SNP_A-4223508"	11	5215066	0.480589
"SNP_A-2007233"	11	5216303	-0.053721
"SNP_A-2007234"	11	5216344	-0.130737
"SNP_A-4214643"	11	5216631	-0.118968
"SNP_A-4214644"	11	5216643	-0.185729
"SNP_A-4214645"	11	5217950	0.061577
"SNP_A-2007237"	11	5218046	0.055571
"SNP_A-2007240"	11	5225716	-0.228326
"SNP_A-2226912"	11	5229723	-0.03164
"SNP_A-2271188"	11	5233654	-0.200738
"SNP_A-2221023"	11	5233812	-0.378617
"SNP_A-2219624"	11	5241554	0.046542
"SNP_A-4214646"	11	5254606	0.440784
"SNP_A-4214647"	11	5254756	0.25579
"SNP_A-2307311"	11	5258620	0.151379
"SNP_A-2138884"	11	5259639	-0.189052
"SNP_A-2001653"	11	5263085	-0.432297
"SNP_A-2028530"	11	5265304	0.088767
"SNP_A-1955858"	11	5265472	-0.188619
"SNP_A-2136781"	11	5274129	0.047236
"SNP_A-2007246"	11	5275253	0.328681
"SNP_A-2059906"	11	5285283	0.29418
"SNP_A-4217298"	11	5288875	0.179686
"SNP_A-4240554"	11	5293460	0.000747
"SNP_A-1799374"	11	5302436	0.255492
"SNP_A-2086964"	11	5322004	-0.217445
"SNP_A-2281810"	11	5322318	0.070771
"SNP_A-2135581"	11	5357836	-0.08454
"SNP_A-1870660"	11	5359215	-0.150296
"SNP_A-1889892"	11	5359233	0.379171
"SNP_A-4204752"	11	5359546	0.179431
"SNP_A-2078249"	11	5359609	0.164103
"SNP_A-2149835"	11	5359910	-0.010348
"SNP_A-1938219"	11	5362699	0.007531
"SNP_A-4214648"	11	5363858	0.135096
"SNP_A-4214649"	11	5363873	-0.408493
"SNP_A-2044096"	11	5368614	0.562653
"SNP_A-4192476"	11	5368635	-0.092489
"SNP_A-4204312"	11	5368648	0.245696
"SNP_A-2133327"	11	5396863	-0.131937
"SNP_A-4194998"	11	5397196	0.252597
"SNP_A-2040199"	11	5397241	-0.142784
"SNP_A-1959619"	11	5398199	0.183366
"SNP_A-2109079"	11	5398802	0.037809
"SNP_A-2109099"	11	5400276	-0.01051
"SNP_A-2138494"	11	5400315	-0.067201
"SNP_A-2266598"	11	5400443	-0.017003
"SNP_A-2143929"	11	5400637	0.115196
"SNP_A-2219361"	11	5403120	0.171738
"SNP_A-2181610"	11	5405119	-0.005709
"SNP_A-2311709"	11	5408337	-0.059394
"SNP_A-1941090"	11	5408451	-0.020716
"SNP_A-2229891"	11	5412659	-0.018928
"SNP_A-4199284"	11	5418661	0.574381
"SNP_A-1930013"	11	5424158	-0.005996
"SNP_A-2225517"	11	5437020	0.106284
"SNP_A-4195612"	11	5438549	0.166837
"SNP_A-4221389"	11	5446241	0.304414
"SNP_A-1808940"	11	5449885	0.31361
"SNP_A-4194892"	11	5449960	0.348609
"SNP_A-2245976"	11	5452894	-0.430711
"SNP_A-2007284"	11	5453387	0.097571
"SNP_A-2007285"	11	5453501	0.067416
"SNP_A-2287030"	11	5462340	0.074428
"SNP_A-4214654"	11	5462610	0.364317
"SNP_A-1946148"	11	5467796	0.196565
"SNP_A-2007296"	11	5475554	0.163686
"SNP_A-2001655"	11	5475771	0.205553
"SNP_A-4214655"	11	5476046	-0.293694
"SNP_A-2159783"	11	5491758	0.368043
"SNP_A-1902130"	11	5493472	-0.089254
"SNP_A-2007301"	11	5493821	0.066143
"SNP_A-2007302"	11	5494356	-0.210932
"SNP_A-1902638"	11	5499595	-0.178013
"SNP_A-2245300"	11	5501165	-0.112085
"SNP_A-2292698"	11	5502398	-0.522193
"SNP_A-1811521"	11	5504106	-0.160429
"SNP_A-2288821"	11	5508716	0.076637
"SNP_A-1819952"	11	5508743	0.582379
"SNP_A-2298257"	11	5522941	0.348699
"SNP_A-2313113"	11	5523644	-0.065265
"SNP_A-2243464"	11	5526028	-0.638147
"SNP_A-2007312"	11	5530277	0.364757
"SNP_A-2007313"	11	5530407	0.261468
"SNP_A-4227690"	11	5530856	0.334242
"SNP_A-2228754"	11	5531958	0.513564
"SNP_A-2024438"	11	5543121	-0.007866
"SNP_A-1953954"	11	5543590	-0.023253
"SNP_A-1787880"	11	5569598	0.227687
"SNP_A-1824270"	11	5569768	0.085065
"SNP_A-1851200"	11	5569986	0.516556
"SNP_A-1843340"	11	5570176	0.271781
"SNP_A-2246372"	11	5570307	0.053371
"SNP_A-1804304"	11	5572829	0.112512
"SNP_A-4237926"	11	5572964	0.099945
"SNP_A-2300305"	11	5598577	-0.139429
"SNP_A-1802448"	11	5601579	0.304392
"SNP_A-2007333"	11	5611969	-0.201663
"SNP_A-1941838"	11	5616599	0.10369
"SNP_A-2052429"	11	5641351	-0.089849
"SNP_A-2165698"	11	5649757	0.03607
"SNP_A-2288199"	11	5657985	-0.091747
"SNP_A-2199591"	11	5658395	0.081758
"SNP_A-2253061"	11	5658459	0.068717
"SNP_A-2036214"	11	5658675	-0.360741
"SNP_A-2287435"	11	5665604	0.089012
"SNP_A-2186227"	11	5666033	0.100407
"SNP_A-1800907"	11	5675827	0.31899
"SNP_A-2116981"	11	5676243	0.130528
"SNP_A-4221645"	11	5676411	-0.087385
"SNP_A-2119917"	11	5686824	0.471303
"SNP_A-2250453"	11	5696088	0.200603
"SNP_A-2103284"	11	5702213	0.34014
"SNP_A-2194769"	11	5710971	0.913819
"SNP_A-2256167"	11	5727416	-0.319836
"SNP_A-2164353"	11	5727505	0.026761
"SNP_A-2119640"	11	5733171	-0.144641
"SNP_A-2130715"	11	5733199	0.022209
"SNP_A-1938547"	11	5733629	0.227228
"SNP_A-1819540"	11	5733672	-0.162356
"SNP_A-1798252"	11	5734586	0.353341
"SNP_A-2210496"	11	5735047	0.119473
"SNP_A-1915795"	11	5772861	-0.207952
"SNP_A-1849855"	11	5776193	0.23469
"SNP_A-2256312"	11	5792979	0.036103
"SNP_A-2130133"	11	5799669	-0.41071
"SNP_A-2199142"	11	5799714	0.365211
"SNP_A-4214099"	11	5800095	-0.039886
"SNP_A-4214100"	11	5800326	0.216435
"SNP_A-2001664"	11	5800361	0.10332
"SNP_A-4233007"	11	5814078	0.356623
"SNP_A-2151931"	11	5822800	0.591138
"SNP_A-2265406"	11	5822909	0.137955
"SNP_A-2100504"	11	5823306	0.529746
"SNP_A-2122441"	11	5823478	0.435423
"SNP_A-1952301"	11	5823529	-0.201456
"SNP_A-1894297"	11	5823859	0.076079
"SNP_A-4228822"	11	5824164	0.088768
"SNP_A-2133852"	11	5824202	-0.025579
"SNP_A-2263483"	11	5824261	-0.875403
"SNP_A-1825504"	11	5853455	-0.05609
"SNP_A-2022106"	11	5855170	0.090023
"SNP_A-2241919"	11	5858006	0.206936
"SNP_A-2241115"	11	5858229	-0.101564
"SNP_A-2152938"	11	5858528	-0.10482
"SNP_A-4232398"	11	5879076	0.199162
"SNP_A-1863864"	11	5879208	0.122076
"SNP_A-1912797"	11	5879283	-0.128374
"SNP_A-2007358"	11	5890539	-0.415422
"SNP_A-1853526"	11	5890620	-0.024642
"SNP_A-1867414"	11	5911385	0.746948
"SNP_A-1864720"	11	5925761	-0.083703
"SNP_A-2209816"	11	5964189	0.018783
"SNP_A-2166549"	11	5964319	0.120928
"SNP_A-1937706"	11	5965954	0.251595
"SNP_A-4205401"	11	5971128	-0.13823
"SNP_A-1784649"	11	5971155	-0.040026
"SNP_A-2312186"	11	5971770	0.101863
"SNP_A-2007362"	11	5971892	-0.214832
"SNP_A-1792307"	11	5972263	0.382753
"SNP_A-2157038"	11	5973087	0.105871
"SNP_A-1810737"	11	5973119	-0.049602
"SNP_A-2119836"	11	5981873	0.173684
"SNP_A-2158551"	11	5989343	0.095771
"SNP_A-2069477"	11	6004632	-0.287177
"SNP_A-2313761"	11	6039479	0.500897
"SNP_A-2108874"	11	6057220	0.247001
"SNP_A-2050663"	11	6057431	0.071113
"SNP_A-1829949"	11	6060657	-0.195659
"SNP_A-2104599"	11	6060818	0.140617
"SNP_A-1821203"	11	6061143	0.1448
"SNP_A-1839678"	11	6061407	0.018873
"SNP_A-2007369"	11	6090907	-0.150009
"SNP_A-4214659"	11	6103156	-0.046364
"SNP_A-4238661"	11	6107780	0.640451
"SNP_A-1891584"	11	6121204	0.384107
"SNP_A-1794847"	11	6127497	0.315797
"SNP_A-2145204"	11	6131626	0.353882
"SNP_A-2259053"	11	6151051	0.152898
"SNP_A-2067517"	11	6172147	0.505494
"SNP_A-4224560"	11	6176091	0.070026
"SNP_A-1821258"	11	6242129	0.777631
"SNP_A-1808309"	11	6261286	0.052918
"SNP_A-2260295"	11	6268453	0.328878
"SNP_A-4214661"	11	6281210	0.344144
"SNP_A-4214662"	11	6281254	-0.111887
"SNP_A-2253102"	11	6281540	-0.014621
"SNP_A-2258632"	11	6288818	-0.275947
"SNP_A-2068773"	11	6292017	0.166456
"SNP_A-4221652"	11	6292571	-0.065458
"SNP_A-2293781"	11	6292850	0.185268
"SNP_A-2124282"	11	6292977	0.13987
"SNP_A-2292013"	11	6294711	-0.196822
"SNP_A-1780377"	11	6366366	0.217067
"SNP_A-1888489"	11	6366394	0.240439
"SNP_A-1885147"	11	6366561	0.476533
"SNP_A-4241196"	11	6376338	0.12533
"SNP_A-2048257"	11	6392604	0.17257
"SNP_A-4214666"	11	6419664	0.119736
"SNP_A-1805875"	11	6440086	0.080998
"SNP_A-4228783"	11	6469952	0.671205
"SNP_A-2288146"	11	6481132	0.139826
"SNP_A-2286993"	11	6486714	-0.15839
"SNP_A-2107515"	11	6505560	0.274731
"SNP_A-2180408"	11	6511941	0.046296
"SNP_A-2007402"	11	6519318	0.53362
"SNP_A-2238782"	11	6580757	0.050481
"SNP_A-2115317"	11	6583251	0.209786
"SNP_A-2035794"	11	6585618	0.179927
"SNP_A-4230173"	11	6609194	-0.171035
"SNP_A-2090787"	11	6622089	0.065855
"SNP_A-4197280"	11	6649630	0.208153
"SNP_A-2258033"	11	6673599	0.006598
"SNP_A-4199234"	11	6674133	0.36218
"SNP_A-2312528"	11	6676762	0.161156
"SNP_A-1820325"	11	6677792	0.287383
"SNP_A-2007418"	11	6678136	0.052129
"SNP_A-1836712"	11	6686968	0.29152
